"Table 2.1b: Annual Mean Concentrations of PM2.5 in the UK at urban background monitoring sites, 2009 to 2024",,,,,
[z] is shorthand for 'Not Applicable',,,,,
Year,Site,Annual Mean PM2.5 concentration (µg/m3)[note 1],95% confidence interval for 'All sites' (+/-)[note 3],Data capture (%),Measurement Frequency[note 4]
2009,All sites (mean),12.3933081899161,0.626062170751266,[z],[z]
2010,All sites (mean),12.9730330496344,0.812720694156802,[z],[z]
2011,All sites (mean),13.7048403424797,0.893151641790071,[z],[z]
2012,All sites (mean),12.5614728524452,0.768436234500607,[z],[z]
2013,All sites (mean),12.0871967621022,0.675479966840495,[z],[z]
2014,All sites (mean),12.0797546640345,0.716146312233226,[z],[z]
2015,All sites (mean),9.77160567877203,0.528071547229701,[z],[z]
2016,All sites (mean),9.78956439612228,0.548507070819391,[z],[z]
2017,All sites (mean),9.41469919605692,0.535408583808683,[z],[z]
2018,All sites (mean),9.92569218276865,0.466330617288385,[z],[z]
2019,All sites (mean),9.88070649204144,0.432352850396537,[z],[z]
2020,All sites (mean),7.88340429542889,0.418183507795081,[z],[z]
2021,All sites (mean),7.92325059802345,0.384731927408049,[z],[z]
2022,All sites (mean),8.25449616475009,0.363337492107003,[z],[z]
2023,All sites (mean),7.23438023110611,0.268663698144713,[z],[z]
2024,All sites (mean),7.15113554252513,0.198937950086172,[z],[z]
2009,Aberdeen,6.92539562923888,[z],60.5936073059361,Hourly
2010,Aberdeen,7.0740793605481,[z],79.9771689497717,Hourly
2011,Aberdeen,8.48466566113625,[z],90.8219178082192,Hourly
2012,Aberdeen,8.51022096183386,[z],96.3456284153005,Hourly
2013,Aberdeen,8.5903216937036,[z],83.0365296803653,Hourly
2014,Aberdeen,10.203896787783,[z],86.7123287671233,Hourly
2015,Aberdeen,8.03882703262558,[z],88.1735159817352,Hourly
2016,Aberdeen,5.37180378987767,[z],94.9225865209472,Hourly
2017,Aberdeen,5.78143078204976,[z],95.9018264840183,Hourly
2018,Aberdeen,6.87081821374225,[z],97.5228310502283,Hourly
2019,Aberdeen,7.25623867659626,[z],93.5045662100457,Hourly
2020,Aberdeen,5.01824260760361,[z],99.7153916211293,Hourly
2021,Aberdeen,5.72332402234637,[z],69.4748858447489,Hourly
2021,Aberdeen Erroll Park,4.53251042611061,[z],25.1826484018265,Hourly
2022,Aberdeen Erroll Park,5.95263921882138,[z],99.9543378995434,Hourly
2023,Aberdeen Erroll Park,5.22610317270992,[z],95.7077625570776,Hourly
2024,Aberdeen Erroll Park,5.46105671812464,[z],99.5560109289617,Hourly
2023,Barnsley Gawber,6.90757766387077,[z],73.4931506849315,Hourly
2024,Barnsley Gawber,7.13324891378916,[z],99.5673952641166,Hourly
2009,Belfast Centre,12.2894388565379,[z],86.2557077625571,Hourly
2010,Belfast Centre,13.5088959585248,[z],96.8835616438356,Hourly
2011,Belfast Centre,13.9686529229031,[z],80.8447488584475,Hourly
2012,Belfast Centre,10.3523709413688,[z],97.4726775956284,Hourly
2013,Belfast Centre,11.5633861075453,[z],80.0342465753425,Hourly
2014,Belfast Centre,10.800491976104,[z],97.4543378995434,Hourly
2015,Belfast Centre,9.0300035465185,[z],96.5639269406393,Hourly
2016,Belfast Centre,9.55477758112094,[z],96.4822404371585,Hourly
2017,Belfast Centre,8.71062824752008,[z],96.6666666666667,Hourly
2018,Belfast Centre,10.0142647556846,[z],94.3835616438356,Hourly
2019,Belfast Centre,10.6171966852259,[z],88.162100456621,Hourly
2020,Belfast Centre,6.81808395033603,[z],99.9430783242259,Hourly
2021,Belfast Centre,7.37887015971504,[z],99.3493150684932,Hourly
2022,Belfast Centre,7.90290985548448,[z],96.3698630136986,Hourly
2023,Belfast Centre,6.86752341786612,[z],99.9315068493151,Hourly
2024,Belfast Centre,7.4026105982906,[z],99.8975409836066,Hourly
2011,Birmingham Acocks Green,8.90473390179359,[z],38.824200913242,Hourly
2012,Birmingham Acocks Green,11.1948217810287,[z],98.0532786885246,Hourly
2013,Birmingham Acocks Green,12.6680947150006,[z],93.527397260274,Hourly
2014,Birmingham Acocks Green,12.4353105373343,[z],98.1506849315068,Hourly
2015,Birmingham Acocks Green,8.99607454863133,[z],98.0022831050228,Hourly
2016,Birmingham Acocks Green,10.2270339675499,[z],97.5295992714025,Hourly
2017,Birmingham Acocks Green,10.7405978538579,[z],89.3607305936073,Hourly
2018,Birmingham Acocks Green,9.2927453271028,[z],97.7168949771689,Hourly
2019,Birmingham Acocks Green,8.65211767469172,[z],97.203196347032,Hourly
2020,Birmingham Acocks Green,7.87877724026722,[z],98.8387978142077,Hourly
2021,Birmingham Acocks Green,7.57461915034849,[z],68.7899543378995,Hourly
2018,Birmingham Ladywood,10.13456,[z],35.6735159817352,Hourly
2019,Birmingham Ladywood,10.1019540979572,[z],92.7625570776256,Hourly
2020,Birmingham Ladywood,7.21935750113999,[z],99.8633879781421,Hourly
2021,Birmingham Ladywood,7.38409565714286,[z],99.8858447488584,Hourly
2022,Birmingham Ladywood,7.64581989708405,[z],99.8287671232877,Hourly
2023,Birmingham Ladywood,6.80939032409582,[z],97.2146118721461,Hourly
2024,Birmingham Ladywood,6.75902862772369,[z],98.224043715847,Hourly
2009,Birmingham Tyburn,13.5729768786127,[z],94.7945205479452,Hourly
2010,Birmingham Tyburn,21.32568359375,[z],23.37899543379,Hourly
2011,Birmingham Tyburn,15.6414279545127,[z],79.3036529680365,Hourly
2012,Birmingham Tyburn,13.5871517384297,[z],98.884335154827,Hourly
2013,Birmingham Tyburn,14.1622654621265,[z],82.134703196347,Hourly
2014,Birmingham Tyburn,13.4757240404992,[z],96.9634703196347,Hourly
2015,Birmingham Tyburn,9.54539922103213,[z],93.7899543378995,Hourly
2016,Birmingham Tyburn,11.1894793152639,[z],95.7650273224044,Hourly
2017,Birmingham Tyburn,12.0111426947129,[z],40.1598173515982,Hourly
2023,Blackburn Audley Park,6.96945264957265,[z],33.3904109589041,Hourly
2024,Blackburn Audley Park,7.04817463759845,[z],99.738160291439,Hourly
2009,Blackpool Marton,8.60098387537579,[z],83.5388127853881,Hourly
2010,Blackpool Marton,12.1318214032601,[z],16.1073059360731,Hourly
2011,Blackpool Marton,11.042802303263,[z],59.4748858447489,Hourly
2012,Blackpool Marton,8.49723664377826,[z],67.9758652094718,Hourly
2014,Blackpool Marton,10.2951289398281,[z],67.7283105022831,Hourly
2015,Blackpool Marton,8.47752269779507,[z],88.013698630137,Hourly
2016,Blackpool Marton,7.83742391039688,[z],93.5109289617486,Hourly
2017,Blackpool Marton,7.34121226304704,[z],97.5570776255708,Hourly
2018,Blackpool Marton,8.50964721845319,[z],84.1324200913242,Hourly
2019,Blackpool Marton,9.17583155080214,[z],85.3881278538813,Hourly
2020,Blackpool Marton,8.19607717004931,[z],99.2827868852459,Hourly
2021,Blackpool Marton,7.33987557286893,[z],99.634703196347,Hourly
2022,Blackpool Marton,7.89015281746485,[z],99.8744292237443,Hourly
2023,Blackpool Marton,7.01180317569111,[z],99.9315068493151,Hourly
2024,Blackpool Marton,7.50069807451293,[z],99.9203096539162,Hourly
2022,Borehamwood Meadow Park,7.33672378290925,[z],77.6141552511416,Hourly
2023,Borehamwood Meadow Park,6.91442033898305,[z],97.6598173515982,Hourly
2024,Borehamwood Meadow Park,6.90989339196577,[z],95.787795992714,Hourly
2009,Bournemouth,9.39367816091954,[z],95.3424657534246,Daily
2010,Bournemouth,9.07539682539683,[z],69.041095890411,Daily
2011,Bournemouth,8.97972972972973,[z],81.0958904109589,Daily
2012,Bournemouth,9.15652173913043,[z],94.2622950819672,Daily
2013,Bournemouth,9.18351123595506,[z],97.5342465753425,Daily
2014,Bournemouth,8.16803225806452,[z],84.9315068493151,Daily
2015,Bournemouth,7.48696132596685,[z],99.1780821917808,Daily
2016,Bournemouth,7.48936647727273,[z],96.1748633879781,Daily
2017,Bournemouth,7.53079401993355,[z],82.4657534246575,Daily
2017,Bournemouth,12.8168224299065,[z],12.2146118721461,Hourly
2018,Bournemouth,10.5251635930993,[z],95.9474885844749,Hourly
2019,Bournemouth,10.8196585250178,[z],96.2785388127854,Hourly
2020,Bournemouth,9.73548231317156,[z],94.2964480874317,Hourly
2021,Bournemouth,10.6873276585541,[z],95.2168949771689,Hourly
2022,Bournemouth,10.2696655956206,[z],95.9246575342466,Hourly
2023,Bournemouth,8.73539320506576,[z],93.7442922374429,Hourly
2024,Bournemouth,7.56638921369765,[z],95.4121129326047,Hourly
2009,Brighton Preston Park,11.1028938906752,[z],85.2054794520548,Daily
2010,Brighton Preston Park,10.5739910313901,[z],61.0958904109589,Daily
2011,Brighton Preston Park,12.1045296167247,[z],78.6301369863014,Daily
2012,Brighton Preston Park,10.8508287292818,[z],98.9071038251366,Daily
2013,Brighton Preston Park,11.1798599439776,[z],97.8082191780822,Daily
2014,Brighton Preston Park,9.55932584269663,[z],97.5342465753425,Daily
2015,Brighton Preston Park,9.31876160990712,[z],88.4931506849315,Daily
2016,Brighton Preston Park,9.01902830188679,[z],86.8852459016393,Daily
2017,Brighton Preston Park,8.91593895348837,[z],94.2465753424658,Daily
2018,Brighton Preston Park,8.8899299719888,[z],97.8082191780822,Daily
2019,Brighton Preston Park,12.416125,[z],39.4520547945205,Daily
2020,Brighton Preston Park,9.21158098396904,[z],41.1885245901639,Hourly
2021,Brighton Preston Park,11.7481601148806,[z],63.5958904109589,Hourly
2022,Brighton Preston Park,11.1314673452078,[z],94.2123287671233,Hourly
2023,Brighton Preston Park,9.83199530056785,[z],58.2990867579909,Hourly
2024,Brighton Preston Park,8.0208937670047,[z],92.0537340619308,Hourly
2009,Bristol St Paul's,13.3441764132554,[z],93.6986301369863,Hourly
2010,Bristol St Paul's,14.2112659283077,[z],95.8561643835616,Hourly
2011,Bristol St Paul's,14.6888038513764,[z],92.4771689497717,Hourly
2012,Bristol St Paul's,13.262993910211,[z],80.3847905282332,Hourly
2013,Bristol St Paul's,12.8094346701164,[z],97.0662100456621,Hourly
2014,Bristol St Paul's,13.1472439984258,[z],58.013698630137,Hourly
2015,Bristol St Paul's,10.2467500911189,[z],93.9611872146119,Hourly
2016,Bristol St Paul's,11.6608348843393,[z],85.6329690346084,Hourly
2017,Bristol St Paul's,9.65290660534049,[z],89.3493150684932,Hourly
2018,Bristol St Paul's,12.0379162498214,[z],79.8744292237443,Hourly
2019,Bristol St Paul's,10.7965765285733,[z],85.6963470319635,Hourly
2020,Bristol St Paul's,9.66019653038942,[z],93.8410746812386,Hourly
2021,Bristol St Paul's,8.32935052644032,[z],96.4954337899543,Hourly
2022,Bristol St Paul's,8.38505191982613,[z],94.5433789954338,Hourly
2023,Bristol St Paul's,8.24112843355605,[z],76.8835616438356,Hourly
