series,year,emissions (thousand tonnes)
PM10,1970,689.4441808165013
PM10,1971,634.1621341140727
PM10,1972,560.9694777121772
PM10,1973,584.8539377205637
PM10,1974,531.6863498777584
PM10,1975,503.96073153476414
PM10,1976,492.3739936205864
PM10,1977,486.6122987552775
PM10,1978,476.59163912117265
PM10,1979,479.734075232964
PM10,1980,441.5809468426536
PM10,1981,423.59011335148904
PM10,1982,414.40129499563386
PM10,1983,408.63061304283804
PM10,1984,365.28824310036435
PM10,1985,403.2742826392234
PM10,1986,414.7526489419292
PM10,1987,405.4815126926852
PM10,1988,397.6590628663551
PM10,1989,399.63539736161135
PM10,1990,332.5184970506645
PM10,1991,332.5067481936717
PM10,1992,316.30274080418656
PM10,1993,293.5820314125821
PM10,1994,278.6260117589845
PM10,1995,253.91858106488885
PM10,1996,250.57648846894935
PM10,1997,232.6271257362592
PM10,1998,222.8496678982307
PM10,1999,213.23190069710054
PM10,2000,199.74470533621107
PM10,2001,200.21349940275087
PM10,2002,174.11944883257905
PM10,2003,181.94615334848731
PM10,2004,172.6361606386297
PM10,2005,168.97680804679345
PM10,2006,168.74499485378905
PM10,2007,160.55855545065452
PM10,2008,148.13255245700037
PM10,2009,134.78245646554214
PM10,2010,141.63929028539474
PM10,2011,134.1616089246652
PM10,2012,129.81335654971815
PM10,2013,133.28295931467025
PM10,2014,129.4282319880933
PM10,2015,128.00859138961198
PM10,2016,126.84490232044641
PM10,2017,129.83648619918108
PM10,2018,128.523665576418
PM10,2019,122.13050574786993
PM10,2020,107.05034922194085
PM10,2021,116.19771931133425
PM10,2022,114.63084827004477
PM10,2023,107.20769762241136
PM10,2024,103.5785152195218
PM2.5,1970,545.7867865334987
PM2.5,1971,483.83473180610304
PM2.5,1972,424.8252598255052
PM2.5,1973,432.199185521954
PM2.5,1974,400.96719321230455
PM2.5,1975,354.4180573244457
PM2.5,1976,347.714738768035
PM2.5,1977,345.1682891413109
PM2.5,1978,331.9321103749837
PM2.5,1979,339.47199792049
PM2.5,1980,301.14284865793525
PM2.5,1981,286.6517123869151
PM2.5,1982,282.0012753597617
PM2.5,1983,272.4287316215665
PM2.5,1984,245.81507863365195
PM2.5,1985,270.73186095721115
PM2.5,1986,281.7555369697305
PM2.5,1987,259.06850189152186
PM2.5,1988,253.85931012665617
PM2.5,1989,250.63081327671136
PM2.5,1990,214.9500633544704
PM2.5,1991,215.41693060283012
PM2.5,1992,206.6961372160481
PM2.5,1993,191.92967555482383
PM2.5,1994,181.1904569774526
PM2.5,1995,162.07239903408677
PM2.5,1996,158.4527747768104
PM2.5,1997,148.05371290482586
PM2.5,1998,141.76874992236006
PM2.5,1999,135.71679700021576
PM2.5,2000,122.40475013784379
PM2.5,2001,119.09316634778266
PM2.5,2002,102.92920755279282
PM2.5,2003,102.26700411091224
PM2.5,2004,100.2060810640423
PM2.5,2005,98.75493330697752
PM2.5,2006,99.12659941638088
PM2.5,2007,93.29336372446264
PM2.5,2008,86.97558421000952
PM2.5,2009,78.40699260661751
PM2.5,2010,79.99324100843077
PM2.5,2011,76.14532794370633
PM2.5,2012,75.9359422546072
PM2.5,2013,75.84492855628382
PM2.5,2014,72.91870827339443
PM2.5,2015,71.32926590215224
PM2.5,2016,68.32491048324908
PM2.5,2017,68.49313915536547
PM2.5,2018,68.68681036486878
PM2.5,2019,65.25833440053313
PM2.5,2020,58.36298196941867
PM2.5,2021,60.4649335165084
PM2.5,2022,58.18318516164413
PM2.5,2023,55.14409472518884
PM2.5,2024,52.977522078275605
erc_2020-2029,2020,69.12845331488425
erc_2020-2029,2021,69.12845331488425
erc_2020-2029,2022,69.12845331488425
erc_2020-2029,2023,69.12845331488425
erc_2020-2029,2024,69.12845331488425
erc_2020-2029,2025,69.12845331488425
erc_2020-2029,2026,69.12845331488425
erc_2020-2029,2027,69.12845331488425
erc_2020-2029,2028,69.12845331488425
erc_2020-2029,2029,69.12845331488425
