year,geography,emissions_thousand_tonnes
1970,United Kingdom,545.7867865334987
1971,United Kingdom,483.83473180610304
1972,United Kingdom,424.8252598255052
1973,United Kingdom,432.199185521954
1974,United Kingdom,400.96719321230455
1975,United Kingdom,354.4180573244457
1976,United Kingdom,347.714738768035
1977,United Kingdom,345.1682891413109
1978,United Kingdom,331.9321103749837
1979,United Kingdom,339.47199792049
1980,United Kingdom,301.14284865793525
1981,United Kingdom,286.6517123869151
1982,United Kingdom,282.0012753597617
1983,United Kingdom,272.4287316215665
1984,United Kingdom,245.81507863365195
1985,United Kingdom,270.73186095721115
1986,United Kingdom,281.7555369697305
1987,United Kingdom,259.06850189152186
1988,United Kingdom,253.85931012665617
1989,United Kingdom,250.63081327671136
1990,United Kingdom,214.9500633544704
1991,United Kingdom,215.41693060283012
1992,United Kingdom,206.6961372160481
1993,United Kingdom,191.92967555482383
1994,United Kingdom,181.1904569774526
1995,United Kingdom,162.07239903408677
1996,United Kingdom,158.4527747768104
1997,United Kingdom,148.05371290482586
1998,United Kingdom,141.76874992236006
1999,United Kingdom,135.71679700021576
2000,United Kingdom,122.4047501378438
2001,United Kingdom,119.09316634778266
2002,United Kingdom,102.92920755279282
2003,United Kingdom,102.26700411091224
2004,United Kingdom,100.2060810640423
2005,United Kingdom,98.75493330697752
2006,United Kingdom,99.12659941638088
2007,United Kingdom,93.29336372446264
2008,United Kingdom,86.97558421000952
2009,United Kingdom,78.40699260661751
2010,United Kingdom,79.99324100843077
2011,United Kingdom,76.14532794370633
2012,United Kingdom,75.9359422546072
2013,United Kingdom,75.84492855628382
2014,United Kingdom,72.91870827339443
2015,United Kingdom,71.32926590215224
2016,United Kingdom,68.32491048324908
2017,United Kingdom,68.49313915536547
2018,United Kingdom,68.68681036486878
2019,United Kingdom,65.25833440053313
2020,United Kingdom,58.36298196941867
2021,United Kingdom,60.4649335165084
2022,United Kingdom,58.18318516164413
2023,United Kingdom,55.14409472518884
2024,United Kingdom,52.977522078275605
